MsgID.STATE,0.0000000,False,False
MsgID.LOCAL_POSITION,19.0400000,-5.4738221,-0.2260888,-49.9918442
MsgID.LOCAL_VELOCITY,19.0400000,0.4577890,1.3021181,0.0736711
MsgID.GLOBAL_POSITION,0.0000000,-122.3974531,37.7924301,49.9790000
MsgID.LOCAL_VELOCITY,0.0000000,-0.4400000,1.3600000,-0.0500000
MsgID.LOCAL_POSITION,19.2900000,-5.5932302,0.0101253,-49.9798279
MsgID.LOCAL_VELOCITY,19.2900000,-0.4400676,1.3637142,-0.0533504
MsgID.GLOBAL_POSITION,0.0000000,-122.3974492,37.7924300,49.9880000
MsgID.LOCAL_VELOCITY,0.0000000,-0.7100000,1.5800000,-0.0600000
MsgID.LOCAL_POSITION,19.5400000,-5.5974984,0.3598580,-49.9884262
MsgID.LOCAL_VELOCITY,19.5400000,-0.7135410,1.5860107,-0.0668565
MsgID.GLOBAL_POSITION,0.0000000,-122.3974430,37.7924284,49.9870000
MsgID.LOCAL_VELOCITY,0.0000000,-1.0000000,1.3000000,-0.0500000
MsgID.LOCAL_POSITION,19.7900000,-5.7743230,0.9080902,-49.9873390
MsgID.LOCAL_VELOCITY,19.7900000,-1.0036610,1.3004975,-0.0574817
MsgID.STATE,0.0000000,True,True
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974414,37.7924235,49.9890000
MsgID.LOCAL_VELOCITY,0.0000000,-1.7800000,0.6900000,-0.1100000
MsgID.LOCAL_POSITION,20.0400000,-6.3260727,1.0525211,-49.9894447
MsgID.LOCAL_VELOCITY,20.0400000,-1.7831055,0.6976525,-0.1151031
MsgID.GLOBAL_POSITION,0.0000000,-122.3974399,37.7924212,49.9830000
MsgID.LOCAL_VELOCITY,0.0000000,-1.6500000,0.5700000,-0.0100000
MsgID.LOCAL_POSITION,20.2900000,-6.5845461,1.1892725,-49.9839325
MsgID.LOCAL_VELOCITY,20.2900000,-1.6559263,0.5736148,-0.0156252
MsgID.GLOBAL_POSITION,0.0000000,-122.3974369,37.7924175,49.9820000
MsgID.LOCAL_VELOCITY,0.0000000,-1.3500000,1.0000000,-0.1000000
